# h w p block par seq
2319 2995 5 299 0.087786 0.035089
2319 2995 6 249 0.087635 0.035066
2319 2995 7 213 0.081292 0.035046
2319 2995 8 187 0.073835 0.035046
2319 2995 1 1497 0.175722 0.034207
2319 2995 2 748 0.093889 0.034144
2319 2995 3 499 0.066557 0.033937
2319 2995 4 374 0.053104 0.035021
2319 2995 5 299 0.087596 0.035069
2319 2995 6 249 0.090844 0.035047
2319 2995 7 213 0.104485 0.035050
2319 2995 8 187 0.067796 0.035042
2319 2995 1 1497 0.176489 0.033883
2319 2995 2 748 0.093777 0.034259
2319 2995 3 499 0.066451 0.034513
2319 2995 4 374 0.053086 0.034921
2319 2995 5 299 0.083745 0.035045
2319 2995 6 249 0.088069 0.035048
2319 2995 7 213 0.076823 0.035050
2319 2995 8 187 0.075868 0.035048
2319 2995 1 1497 0.175669 0.034301
2319 2995 2 748 0.094068 0.034020
2319 2995 3 499 0.066123 0.035055
2319 2995 4 374 0.053088 0.035057
2319 2995 5 299 0.089170 0.035065
2319 2995 6 249 0.086145 0.035048
2319 2995 7 213 0.085032 0.035047
2319 2995 8 187 0.076836 0.035047
2319 2995 1 1497 0.175658 0.033936
2319 2995 2 748 0.094403 0.033857
2319 2995 3 499 0.066458 0.034439
2319 2995 4 374 0.052995 0.035062
2319 2995 5 299 0.083710 0.035079
2319 2995 6 249 0.086987 0.035050
2319 2995 7 213 0.082378 0.035046
2319 2995 8 187 0.077548 0.035060
2319 2995 1 1497 0.175356 0.033207
2319 2995 2 748 0.095490 0.034017
2319 2995 3 499 0.065816 0.034511
2319 2995 4 374 0.052963 0.035088
2319 2995 5 299 0.083169 0.035047
2319 2995 6 249 0.071006 0.035047
2319 2995 7 213 0.089281 0.035092
2319 2995 8 187 0.092473 0.035043
2319 2995 1 1497 0.176551 0.033601
2319 2995 2 748 0.094234 0.034257
2319 2995 3 499 0.066028 0.034957
2319 2995 4 374 0.052992 0.035117
2319 2995 5 299 0.084575 0.035046
2319 2995 6 249 0.076110 0.035061
2319 2995 7 213 0.105981 0.035051
2319 2995 8 187 0.089233 0.035093
2319 2995 1 1497 0.175532 0.034233
2319 2995 2 748 0.094536 0.034245
2319 2995 3 499 0.066235 0.034450
2319 2995 4 374 0.053545 0.035100
2319 2995 5 299 0.084042 0.035053
2319 2995 6 249 0.108804 0.035049
2319 2995 7 213 0.095236 0.035049
2319 2995 8 187 0.119666 0.035067
2319 2995 1 1497 0.182763 0.034632
2319 2995 2 748 0.096799 0.034183
2319 2995 3 499 0.067235 0.034940
2319 2995 4 374 0.052978 0.035107
2319 2995 5 299 0.092491 0.035064
2319 2995 6 249 0.180378 0.035048
2319 2995 7 213 0.099391 0.035042
2319 2995 8 187 0.151707 0.035441
2319 2995 1 1497 0.178019 0.034256
2319 2995 2 748 0.098888 0.033299
2319 2995 3 499 0.065924 0.035196
2319 2995 4 374 0.066913 0.035007
2319 2995 5 299 0.087812 0.035051
2319 2995 6 249 0.086021 0.035014
2319 2995 7 213 0.094434 0.035049
2319 2995 8 187 0.074870 0.035048
2319 2995 1 1497 0.175176 0.034154
2319 2995 2 748 0.095886 0.034228
2319 2995 3 499 0.066200 0.034997
2319 2995 4 374 0.052911 0.035046
2319 2995 5 299 0.086062 0.035048
2319 2995 6 249 0.076012 0.035047
2319 2995 7 213 0.080080 0.035014
2319 2995 8 187 0.072100 0.035047
2319 2995 1 1497 0.175723 0.033998
2319 2995 2 748 0.093653 0.034139
2319 2995 3 499 0.066417 0.034472
2319 2995 4 374 0.052860 0.035030
2319 2995 5 299 0.083296 0.035052
2319 2995 6 249 0.085862 0.035029
2319 2995 7 213 0.097626 0.035044
2319 2995 8 187 0.077018 0.035045
2319 2995 1 1497 0.175547 0.034225
2319 2995 2 748 0.093857 0.034096
2319 2995 3 499 0.066446 0.034349
2319 2995 4 374 0.053485 0.035109
2319 2995 5 299 0.087053 0.035020
2319 2995 6 249 0.090230 0.035044
2319 2995 7 213 0.082899 0.035048
2319 2995 8 187 0.077992 0.035044
2319 2995 1 1497 0.175252 0.033475
2319 2995 2 748 0.094264 0.034174
2319 2995 3 499 0.066503 0.034361
2319 2995 4 374 0.052987 0.035144
2319 2995 5 299 0.083123 0.035078
2319 2995 6 249 0.075726 0.035120
2319 2995 7 213 0.082242 0.035010
2319 2995 8 187 0.090355 0.035043
