h w p k r par_time seq_time
8192 8192 16 16 32 0.140050 0.415692
8192 8192 16 8 64 0.132154 0.418071
8192 8192 16 4 128 0.133805 0.415957
8192 8192 16 2 256 0.135538 0.416796
8192 8192 16 1 512 0.134019 0.416055
8192 8192 16 4 128 0.132886 0.416550
8192 8192 16 128 2 0.198012 0.415482
8192 8192 16 128 4 0.175390 0.418263
8192 8192 16 64 8 0.155095 0.416271
8192 8192 16 32 16 0.145723 0.429059
8192 8192 16 16 32 0.139923 0.415518
8192 8192 16 8 64 0.133442 0.418109
8192 8192 16 4 128 0.133920 0.415981
8192 8192 16 2 256 0.137452 0.428265
8192 8192 16 1 512 0.140140 0.415548
8192 8192 16 4 128 0.131413 0.415850
8192 8192 16 128 2 0.197235 0.418484
8192 8192 16 128 4 0.175890 0.416316
8192 8192 16 64 8 0.153875 0.418480
8192 8192 16 32 16 0.146941 0.428643
8192 8192 16 16 32 0.141499 0.428572
8192 8192 16 8 64 0.131206 0.416758
8192 8192 16 4 128 0.134516 0.417614
8192 8192 16 2 256 0.134935 0.418164
8192 8192 16 1 512 0.133535 0.417872
8192 8192 16 4 128 0.133153 0.415689
8192 8192 16 128 2 0.197341 0.428953
8192 8192 16 128 4 0.174921 0.416565
8192 8192 16 64 8 0.155611 0.422407
8192 8192 16 32 16 0.146936 0.415759
8192 8192 16 16 32 0.140899 0.415400
8192 8192 16 8 64 0.132213 0.417109
8192 8192 16 4 128 0.136228 0.428900
8192 8192 16 2 256 0.136783 0.428553
8192 8192 16 1 512 0.137242 0.419729
8192 8192 16 4 128 0.132908 0.418858
8192 8192 16 128 2 0.196387 0.416030
8192 8192 16 128 4 0.174690 0.415713
8192 8192 16 64 8 0.159019 0.428955
8192 8192 16 32 16 0.146807 0.416554
8192 8192 16 16 32 0.139985 0.415741
8192 8192 16 8 64 0.132382 0.428866
8192 8192 16 4 128 0.133038 0.428828
8192 8192 16 2 256 0.139079 0.429241
8192 8192 16 1 512 0.130769 0.415806
8192 8192 16 4 128 0.134510 0.428764
8192 8192 16 128 2 0.197971 0.419393
8192 8192 16 128 4 0.181146 0.417061
8192 8192 16 64 8 0.155600 0.415752
8192 8192 16 32 16 0.144886 0.415899
8192 8192 16 16 32 0.139066 0.415567
8192 8192 16 8 64 0.129363 0.417843
8192 8192 16 4 128 0.131983 0.416056
8192 8192 16 2 256 0.136094 0.416751
8192 8192 16 1 512 0.138040 0.415815
8192 8192 16 4 128 0.134674 0.428948
8192 8192 16 128 2 0.200028 0.428588
8192 8192 16 128 4 0.177196 0.415471
8192 8192 16 64 8 0.156684 0.415161
8192 8192 16 32 16 0.144915 0.415836
8192 8192 16 16 32 0.141762 0.432103
8192 8192 16 8 64 0.131888 0.416021
8192 8192 16 4 128 0.131597 0.420312
8192 8192 16 2 256 0.132686 0.416496
8192 8192 16 1 512 0.131830 0.415872
8192 8192 16 4 128 0.136312 0.428766
8192 8192 16 128 2 0.193384 0.416345
8192 8192 16 128 4 0.177192 0.420331
8192 8192 16 64 8 0.156709 0.418438
8192 8192 16 32 16 0.147202 0.428947
8192 8192 16 16 32 0.140423 0.415888
8192 8192 16 8 64 0.132518 0.415707
