w h p k r par_time seq_time
1024 1024 4 32 8 0.036395 0.054009
8192 8192 4 128 128 3.454788 3.480473
512 512 2 8 256 0.017328 0.013538
2048 2048 4 4 8 0.274557 0.215578
8192 8192 4 32 128 2.399902 3.453056
8192 8192 4 128 64 3.100304 3.452535
4096 4096 8 4 8 22.919987 1.734061
4096 4096 8 256 8 5.949948 1.734238
1024 1024 4 128 128 0.061637 0.053548
4096 4096 2 8 4 2.018515 0.869725
1024 1024 4 2 128 0.041116 0.053679
8192 8192 4 128 2 2.247880 3.453024
2048 2048 4 2 2 1.423457 0.213983
512 512 4 16 8 0.012275 0.013452
1024 1024 2 32 128 0.064208 0.053524
2048 2048 4 256 32 0.240729 0.216136
1024 1024 8 128 16 0.499902 0.103480
8192 8192 4 16 2 4.781000 3.484860
2048 2048 8 16 64 1.019957 0.423917
2048 2048 2 128 128 0.241785 0.215787
512 512 2 16 4 0.023294 0.013526
4096 4096 2 64 8 0.732243 0.866662
8192 8192 4 8 4 4.563770 3.452999
4096 4096 4 32 8 0.470820 0.869782
512 512 8 8 2 1.459840 0.023350
8192 8192 2 16 8 3.989956 3.486966
512 512 4 4 32 0.014444 0.013498
4096 4096 4 8 64 0.416901 0.863669
8192 8192 4 8 64 1.662353 3.480708
2048 2048 2 256 8 0.234285 0.216475
2048 2048 4 8 4 0.275690 0.215511
2048 2048 4 32 16 0.109180 0.213983
2048 2048 4 64 4 0.128490 0.214097
2048 2048 2 4 4 0.805034 0.215548
2048 2048 4 4 16 0.185804 0.215952
8192 8192 4 64 32 1.462134 3.485556
2048 2048 4 256 2 0.185701 0.213841
1024 1024 8 16 128 0.289845 0.103891
2048 2048 2 8 32 0.201591 0.215800
1024 1024 2 16 4 0.086657 0.054019
4096 4096 8 32 16 4.960011 1.737201
1024 1024 4 128 32 0.062697 0.053604
2048 2048 4 16 128 0.215522 0.214120
512 512 2 2 128 0.017566 0.013416
2048 2048 4 32 128 0.235809 0.213999
512 512 8 4 16 0.399911 0.023456
8192 8192 2 128 256 3.709710 3.485483
4096 4096 8 2 16 22.779966 1.739695
8192 8192 2 16 2 8.677693 3.482523
512 512 2 128 8 0.017832 0.013461
2048 2048 4 8 2 0.453150 0.215598
1024 1024 4 2 8 0.116981 0.053682
1024 1024 4 32 32 0.058514 0.053607
4096 4096 8 256 64 3.650002 1.739721
2048 2048 2 8 256 0.228097 0.213997
1024 1024 4 16 8 0.040715 0.053957
1024 1024 4 128 4 0.062533 0.053629
8192 8192 4 4 256 1.727850 3.453259
512 512 8 32 32 0.339998 0.023433
1024 1024 4 64 32 0.061588 0.054003
1024 1024 4 256 256 0.060682 0.053538
2048 2048 8 32 4 1.759808 0.423906
1024 1024 4 16 2 0.071608 0.053625
8192 8192 8 16 32 15.000121 6.904414
8192 8192 8 256 4 19.720077 6.986463
8192 8192 4 64 8 1.662214 3.480784
4096 4096 2 2 16 2.120506 0.869594
2048 2048 8 4 64 1.459964 0.435589
512 512 4 4 32 0.014367 0.013437
2048 2048 2 128 2 0.260398 0.215605
4096 4096 4 8 8 0.730045 0.863509
4096 4096 8 16 128 3.579991 1.726995
4096 4096 4 128 16 0.630998 0.870390
2048 2048 4 4 64 0.123767 0.215610
512 512 4 256 16 0.018678 0.013534
8192 8192 2 32 64 2.464472 3.454532
8192 8192 8 64 256 11.910141 6.905349
4096 4096 4 2 4 3.578746 0.866471
4096 4096 2 256 32 0.906565 0.863877
512 512 2 32 32 0.016961 0.013478
8192 8192 8 128 16 12.940006 6.904586
2048 2048 8 128 256 0.839972 0.424023
2048 2048 2 32 256 0.251508 0.215621
1024 1024 4 8 256 0.064812 0.054033
512 512 8 64 4 1.219932 0.023354
1024 1024 2 4 4 0.204678 0.053907
2048 2048 4 16 32 0.108756 0.213854
4096 4096 4 64 4 0.496070 0.863657
2048 2048 2 32 16 0.177356 0.214033
1024 1024 2 256 64 0.062390 0.053916
4096 4096 2 2 128 0.885970 0.866830
8192 8192 8 2 64 23.239986 6.918283
512 512 4 128 128 0.016118 0.013371
2048 2048 8 256 8 2.419961 0.424090
4096 4096 2 256 2 0.946515 0.869920
1024 1024 2 2 64 0.065856 0.053963
8192 8192 8 16 4 49.170098 6.984556
8192 8192 2 4 2 25.723854 3.453394
512 512 4 64 4 0.018877 0.013482
1024 1024 8 2 2 10.339853 0.103542
4096 4096 4 64 128 0.913436 0.866586
1024 1024 4 64 128 0.065093 0.053596
4096 4096 8 64 64 4.019893 1.733613
4096 4096 8 8 32 5.259979 1.726570
2048 2048 8 8 8 3.099858 0.435878
2048 2048 4 16 16 0.116920 0.213848
4096 4096 4 32 16 0.412937 0.863731
1024 1024 8 128 16 0.499877 0.103487
4096 4096 2 32 128 0.844608 0.866642
1024 1024 4 128 32 0.061552 0.053600
1024 1024 8 4 8 1.499922 0.103430
1024 1024 4 16 8 0.040787 0.053462
4096 4096 4 64 32 0.617611 0.866558
8192 8192 4 32 16 1.619547 3.480881
4096 4096 4 64 16 0.393844 0.864076
1024 1024 4 8 8 0.049981 0.054440
1024 1024 8 32 16 0.659935 0.103887
4096 4096 8 8 16 6.999923 1.739743
2048 2048 4 32 8 0.120823 0.214141
4096 4096 2 4 8 2.022547 0.869333
512 512 4 16 4 0.014993 0.013387
4096 4096 4 32 4 0.585480 0.869528
1024 1024 4 128 128 0.061681 0.053967
1024 1024 4 8 32 0.035738 0.053480
4096 4096 4 4 64 0.489451 0.866661
4096 4096 2 64 128 0.929623 0.871989
1024 1024 2 8 8 0.083782 0.053605
2048 2048 4 128 4 0.135959 0.215674
1024 1024 8 4 128 0.319860 0.103440
2048 2048 4 8 16 0.138264 0.215869
2048 2048 2 8 128 0.174873 0.215533
1024 1024 4 8 32 0.035613 0.053523
2048 2048 2 128 4 0.197464 0.213797
4096 4096 8 32 4 9.319948 1.734394
512 512 8 8 32 0.299931 0.023353
2048 2048 2 32 64 0.213971 0.213896
4096 4096 4 16 64 0.392134 0.863834
512 512 4 32 64 0.017087 0.013544
4096 4096 4 16 8 0.553364 0.869673
2048 2048 2 128 64 0.238018 0.215611
512 512 4 4 2 0.048594 0.013507
4096 4096 2 4 64 0.837216 0.863891
2048 2048 4 64 64 0.232984 0.216018
1024 1024 4 128 64 0.061669 0.053970
1024 1024 2 8 64 0.048410 0.053534
1024 1024 4 4 64 0.036895 0.053907
1024 1024 2 64 64 0.063116 0.053444
4096 4096 4 128 8 0.421352 0.869368
8192 8192 4 4 4 8.085217 3.480834
4096 4096 4 4 32 0.574958 0.864032
2048 2048 4 8 128 0.169893 0.213832
4096 4096 2 8 32 0.811352 0.870201
4096 4096 4 64 16 0.393434 0.863560
1024 1024 4 128 4 0.062991 0.053900
2048 2048 4 16 32 0.108370 0.215594
2048 2048 4 64 16 0.171669 0.215567
4096 4096 8 128 128 3.980008 1.734048
1024 1024 4 64 16 0.058948 0.054053
2048 2048 8 4 4 10.709874 0.424078
2048 2048 4 64 32 0.211993 0.215583
4096 4096 2 32 4 1.063599 0.863762
8192 8192 2 8 128 2.674286 3.486687
2048 2048 2 2 128 0.224900 0.216003
1024 1024 4 128 2 0.053249 0.053948
2048 2048 4 16 8 0.141948 0.215515
4096 4096 8 16 16 4.629923 1.740051
1024 1024 4 4 16 0.049553 0.053903
1024 1024 4 32 128 0.063917 0.053922
1024 1024 2 64 8 0.051195 0.053934
2048 2048 4 32 64 0.211419 0.213894
4096 4096 4 8 32 0.459227 0.863766
512 512 8 4 32 0.399837 0.023379
512 512 4 4 128 0.018507 0.013549
1024 1024 4 8 8 0.049551 0.053900
4096 4096 8 64 64 3.539876 1.739838
4096 4096 2 256 8 0.708153 0.869817
2048 2048 4 4 32 0.145090 0.215612
8192 8192 8 64 4 26.180133 6.918266
1024 1024 8 2 16 1.499857 0.103865
4096 4096 4 256 32 0.898348 0.870070
2048 2048 2 128 32 0.230745 0.216020
4096 4096 8 2 256 2.809883 1.733957
2048 2048 8 64 4 4.399910 0.424021
2048 2048 8 64 16 1.519938 0.423881
1024 1024 4 8 4 0.070489 0.054015
4096 4096 4 16 128 0.633485 0.863662
4096 4096 8 32 64 3.639942 1.734051
4096 4096 4 4 4 1.869274 0.863549
4096 4096 2 16 256 0.858562 0.863565
512 512 4 64 16 0.017457 0.013537
1024 1024 2 16 32 0.047488 0.053960
1024 1024 8 64 64 0.299855 0.103858
1024 1024 2 4 16 0.088061 0.053934
1024 1024 8 16 16 0.499895 0.103923
2048 2048 8 32 256 1.079954 0.423856
1024 1024 4 16 64 0.057575 0.053946
2048 2048 4 128 128 0.237921 0.215893
1024 1024 4 32 8 0.036249 0.054026
8192 8192 4 128 128 3.460085 3.452831
512 512 2 8 256 0.017272 0.013374
2048 2048 4 4 8 0.274279 0.215884
8192 8192 4 32 128 2.398481 3.480892
8192 8192 4 128 64 3.103521 3.452862
4096 4096 8 4 8 22.639953 1.739996
4096 4096 8 256 8 4.939953 1.734205
1024 1024 4 128 128 0.061566 0.053972
4096 4096 2 8 4 2.055167 0.866620
1024 1024 4 2 128 0.041325 0.053940
8192 8192 4 128 2 2.246923 3.487038
2048 2048 4 2 2 1.546098 0.213778
512 512 4 16 8 0.012207 0.013526
1024 1024 2 32 128 0.063917 0.053510
2048 2048 4 256 32 0.237378 0.216035
1024 1024 8 128 16 0.659810 0.103875
8192 8192 4 16 2 4.691015 3.482528
2048 2048 8 16 64 1.119938 0.423980
2048 2048 2 128 128 0.241919 0.215859
512 512 2 16 4 0.023462 0.013514
4096 4096 2 64 8 0.726040 0.863775
8192 8192 4 8 4 4.578945 3.482497
4096 4096 4 32 8 0.475743 0.866651
512 512 8 8 2 2.179947 0.023445
8192 8192 2 16 8 3.985811 3.453846
