w h p k r par_time seq_time
4096 4096 4 4 32 0.612943 0.865555
2048 2048 4 8 128 0.175930 0.213984
4096 4096 2 8 32 0.832941 0.875242
4096 4096 4 64 16 0.408451 0.865558
1024 1024 4 128 4 0.062404 0.053600
2048 2048 4 16 32 0.114404 0.217072
2048 2048 4 64 16 0.176808 0.217122
4096 4096 8 128 128 3.619961 1.739572
1024 1024 4 64 16 0.060398 0.053655
2048 2048 8 4 4 10.969994 0.424250
2048 2048 4 64 32 0.215759 0.217266
4096 4096 2 32 4 1.095987 0.869468
8192 8192 2 8 128 2.786590 3.508209
2048 2048 2 2 128 0.233778 0.214032
1024 1024 4 128 2 0.053949 0.054104
2048 2048 4 16 8 0.144178 0.213956
4096 4096 8 16 16 4.640011 1.725913
1024 1024 4 4 16 0.052107 0.054172
1024 1024 4 32 128 0.065462 0.053548
1024 1024 2 64 8 0.052371 0.053504
2048 2048 4 32 64 0.217356 0.213861
4096 4096 4 8 32 0.474699 0.869100
512 512 8 4 32 0.399813 0.023556
512 512 4 4 128 0.018884 0.013350
1024 1024 4 8 8 0.050926 0.054248
4096 4096 8 64 64 3.049980 1.739381
4096 4096 2 256 8 0.716020 0.865726
2048 2048 4 4 32 0.147826 0.213911
8192 8192 8 64 4 25.100010 7.026569
1024 1024 8 2 16 1.459881 0.103482
4096 4096 4 256 32 0.921118 0.865338
2048 2048 2 128 32 0.232621 0.214133
4096 4096 8 2 256 4.059988 1.736031
2048 2048 8 64 4 3.059953 0.436074
2048 2048 8 64 16 1.079883 0.436094
1024 1024 4 8 4 0.071636 0.053631
4096 4096 4 16 128 0.661433 0.865598
4096 4096 8 32 64 4.019917 1.739397
4096 4096 4 4 4 1.918474 0.874830
4096 4096 2 16 256 0.891021 0.866061
512 512 4 64 16 0.018184 0.013534
1024 1024 2 16 32 0.049124 0.054049
1024 1024 8 64 64 0.319988 0.103958
1024 1024 2 4 16 0.087696 0.053466
1024 1024 8 16 16 0.579952 0.103644
2048 2048 8 32 256 0.939999 0.436063
1024 1024 4 16 64 0.059009 0.054139
2048 2048 4 128 128 0.245774 0.217032
1024 1024 4 32 8 0.037657 0.053719
8192 8192 4 128 128 3.505292 3.493936
512 512 2 8 256 0.018031 0.013588
2048 2048 4 4 8 0.289194 0.213996
8192 8192 4 32 128 2.487971 3.461644
8192 8192 4 128 64 3.151181 3.461473
4096 4096 8 4 8 22.199907 1.740025
4096 4096 8 256 8 5.059937 1.754530
1024 1024 4 128 128 0.063801 0.053496
4096 4096 2 8 4 2.124012 0.874497
1024 1024 4 2 128 0.042160 0.053455
8192 8192 4 128 2 2.321987 3.508340
2048 2048 4 2 2 1.544726 0.217363
512 512 4 16 8 0.012546 0.013406
1024 1024 2 32 128 0.066145 0.053626
2048 2048 4 256 32 0.240774 0.213890
1024 1024 8 128 16 0.499906 0.103498
8192 8192 4 16 2 4.782122 3.493324
2048 2048 8 16 64 1.059947 0.437025
2048 2048 2 128 128 0.246161 0.217264
512 512 2 16 4 0.023541 0.013399
4096 4096 2 64 8 0.749182 0.866207
8192 8192 4 8 4 4.652868 3.493036
4096 4096 4 32 8 0.487818 0.865564
512 512 8 8 2 1.459850 0.023354
8192 8192 2 16 8 4.091117 3.460791
512 512 4 4 32 0.015322 0.013505
4096 4096 4 8 64 0.435953 0.865296
8192 8192 4 8 64 1.719338 3.461356
2048 2048 2 256 8 0.235108 0.213905
2048 2048 4 8 4 0.277438 0.215984
2048 2048 4 32 16 0.113412 0.213981
2048 2048 4 64 4 0.133954 0.213839
2048 2048 2 4 4 0.856167 0.217886
2048 2048 4 4 16 0.193280 0.216065
8192 8192 4 64 32 1.518621 3.508203
2048 2048 4 256 2 0.188513 0.213828
1024 1024 8 16 128 0.359949 0.104219
2048 2048 2 8 32 0.209108 0.217229
1024 1024 2 16 4 0.088618 0.054160
4096 4096 8 32 16 4.199939 1.735560
1024 1024 4 128 32 0.062564 0.053479
2048 2048 4 16 128 0.225936 0.213976
512 512 2 2 128 0.018236 0.013355
2048 2048 4 32 128 0.242118 0.217005
512 512 8 4 16 0.499860 0.023401
8192 8192 2 128 256 3.760469 3.462208
4096 4096 8 2 16 21.899853 1.736025
8192 8192 2 16 2 8.739528 3.507859
512 512 2 128 8 0.018206 0.013423
2048 2048 4 8 2 0.466617 0.215957
1024 1024 4 2 8 0.118876 0.053571
1024 1024 4 32 32 0.059744 0.053510
4096 4096 8 256 64 4.389988 1.735069
2048 2048 2 8 256 0.237725 0.213786
1024 1024 4 16 8 0.042258 0.054043
1024 1024 4 128 4 0.064072 0.054446
8192 8192 4 4 256 1.818612 3.494464
512 512 8 32 32 0.259939 0.023363
1024 1024 4 64 32 0.064150 0.054228
1024 1024 4 256 256 0.062777 0.053489
2048 2048 8 32 4 3.019959 0.425954
1024 1024 4 16 2 0.074084 0.054053
8192 8192 8 16 32 12.870131 6.993930
8192 8192 8 256 4 16.660125 6.921311
8192 8192 4 64 8 1.737703 3.461454
4096 4096 2 2 16 2.188895 0.865534
2048 2048 8 4 64 1.479950 0.424261
512 512 4 4 32 0.016103 0.013592
2048 2048 2 128 2 0.262322 0.213888
4096 4096 4 8 8 0.767475 0.874374
4096 4096 8 16 128 3.479986 1.735686
4096 4096 4 128 16 0.643693 0.865199
2048 2048 4 4 64 0.129864 0.213818
512 512 4 256 16 0.017922 0.013401
8192 8192 2 32 64 2.573092 3.461853
8192 8192 8 64 256 12.529932 7.017473
4096 4096 4 2 4 3.366913 0.865562
4096 4096 2 256 32 0.920414 0.865877
512 512 2 32 32 0.017168 0.013489
8192 8192 8 128 16 12.179969 7.016556
2048 2048 8 128 256 0.859966 0.423861
2048 2048 2 32 256 0.256879 0.213914
1024 1024 4 8 256 0.067436 0.056629
512 512 8 64 4 0.499879 0.023532
1024 1024 2 4 4 0.203337 0.053491
2048 2048 4 16 32 0.113435 0.217223
4096 4096 4 64 4 0.512550 0.869412
2048 2048 2 32 16 0.181601 0.213864
1024 1024 2 256 64 0.062913 0.053516
4096 4096 2 2 128 0.917010 0.865622
8192 8192 8 2 64 23.529983 7.023692
512 512 4 128 128 0.016345 0.013420
2048 2048 8 256 8 1.739873 0.424030
4096 4096 2 256 2 0.964755 0.874023
1024 1024 2 2 64 0.068190 0.054203
8192 8192 8 16 4 44.560075 7.005329
8192 8192 2 4 2 25.715149 3.463337
512 512 4 64 4 0.020104 0.013379
1024 1024 8 2 2 10.209852 0.103452
4096 4096 4 64 128 0.928721 0.869106
1024 1024 4 64 128 0.064892 0.053595
4096 4096 8 64 64 3.619920 1.741011
4096 4096 8 8 32 4.559968 1.739982
2048 2048 8 8 8 3.129870 0.433991
2048 2048 4 16 16 0.121157 0.217011
4096 4096 4 32 16 0.431338 0.866125
1024 1024 8 128 16 0.579934 0.103565
4096 4096 2 32 128 0.869298 0.874556
1024 1024 4 128 32 0.062682 0.053672
1024 1024 8 4 8 1.519970 0.103436
1024 1024 4 16 8 0.042216 0.054129
4096 4096 4 64 32 0.633489 0.874771
8192 8192 4 32 16 1.709560 3.461328
4096 4096 4 64 16 0.410108 0.865474
1024 1024 4 8 8 0.051463 0.053562
1024 1024 8 32 16 0.819921 0.103596
4096 4096 8 8 16 6.959811 1.744502
2048 2048 4 32 8 0.125329 0.216041
4096 4096 2 4 8 2.070029 0.865641
512 512 4 16 4 0.015604 0.013598
4096 4096 4 32 4 0.610720 0.874285
1024 1024 4 128 128 0.062713 0.054405
1024 1024 4 8 32 0.036910 0.053572
4096 4096 4 4 64 0.508995 0.869428
4096 4096 2 64 128 0.944574 0.865330
1024 1024 2 8 8 0.086605 0.054115
2048 2048 4 128 4 0.139515 0.213778
1024 1024 8 4 128 0.479819 0.104184
2048 2048 4 8 16 0.144141 0.213986
2048 2048 2 8 128 0.182529 0.216066
1024 1024 4 8 32 0.036809 0.053521
2048 2048 2 128 4 0.201435 0.217108
4096 4096 8 32 4 8.260036 1.739547
512 512 8 8 32 0.259928 0.023510
2048 2048 2 32 64 0.221324 0.216092
4096 4096 4 16 64 0.413078 0.865256
512 512 4 32 64 0.017995 0.013380
4096 4096 4 16 8 0.572059 0.869558
2048 2048 2 128 64 0.240686 0.213942
512 512 4 4 2 0.050014 0.013369
4096 4096 2 4 64 0.861836 0.865610
2048 2048 4 64 64 0.237520 0.217099
1024 1024 4 128 64 0.062876 0.054295
1024 1024 2 8 64 0.050453 0.053575
1024 1024 4 4 64 0.039091 0.054100
1024 1024 2 64 64 0.064489 0.053481
4096 4096 4 128 8 0.433824 0.874449
8192 8192 4 4 4 7.289001 3.493604
4096 4096 4 4 32 0.610558 0.869155
2048 2048 4 8 128 0.176172 0.216031
4096 4096 2 8 32 0.835742 0.865785
4096 4096 4 64 16 0.408825 0.874436
1024 1024 4 128 4 0.063741 0.054175
2048 2048 4 16 32 0.113419 0.215984
2048 2048 4 64 16 0.175908 0.216115
4096 4096 8 128 128 3.619986 1.754585
1024 1024 4 64 16 0.060349 0.053651
2048 2048 8 4 4 10.669812 0.423943
2048 2048 4 64 32 0.219120 0.217007
4096 4096 2 32 4 1.066229 0.865785
8192 8192 2 8 128 2.788046 3.462559
2048 2048 2 2 128 0.227798 0.214070
1024 1024 4 128 2 0.054044 0.053492
2048 2048 4 16 8 0.146229 0.213866
4096 4096 8 16 16 4.760031 1.739456
1024 1024 4 4 16 0.051887 0.053556
1024 1024 4 32 128 0.065757 0.054170
1024 1024 2 64 8 0.052154 0.053478
2048 2048 4 32 64 0.217033 0.217043
4096 4096 4 8 32 0.479070 0.865231
512 512 8 4 32 0.439811 0.023351
512 512 4 4 128 0.018034 0.013492
1024 1024 4 8 8 0.050553 0.053556
4096 4096 8 64 64 3.529812 1.735797
4096 4096 2 256 8 0.722334 0.869233
2048 2048 4 4 32 0.149876 0.214082
8192 8192 8 64 4 22.490047 6.983785
1024 1024 8 2 16 1.619951 0.103447
4096 4096 4 256 32 0.916039 0.865476
2048 2048 2 128 32 0.234429 0.214022
4096 4096 8 2 256 4.129995 1.735345
2048 2048 8 64 4 1.899878 0.436929
2048 2048 8 64 16 1.139969 0.436092
1024 1024 4 8 4 0.071702 0.053470
4096 4096 4 16 128 0.643989 0.865756
4096 4096 8 32 64 4.179817 1.735128
4096 4096 4 4 4 1.812822 0.869131
4096 4096 2 16 256 0.889784 0.865803
512 512 4 64 16 0.017911 0.013403
1024 1024 2 16 32 0.048789 0.053602
1024 1024 8 64 64 0.299951 0.104092
1024 1024 2 4 16 0.087407 0.053461
1024 1024 8 16 16 0.499956 0.103600
2048 2048 8 32 256 0.959818 0.437819
1024 1024 4 16 64 0.059058 0.053502
2048 2048 4 128 128 0.241666 0.213993
1024 1024 4 32 8 0.037689 0.053505
8192 8192 4 128 128 3.542133 3.462540
512 512 2 8 256 0.018036 0.013404
2048 2048 4 4 8 0.277517 0.216017
8192 8192 4 32 128 2.489465 3.462354
8192 8192 4 128 64 3.150140 3.462106
4096 4096 8 4 8 22.769956 1.750718
4096 4096 8 256 8 4.549995 1.735245
1024 1024 4 128 128 0.062921 0.054030
4096 4096 2 8 4 2.068617 0.865474
1024 1024 4 2 128 0.042513 0.053992
8192 8192 4 128 2 2.299654 3.494893
2048 2048 4 2 2 1.547901 0.214197
512 512 4 16 8 0.012630 0.013497
1024 1024 2 32 128 0.065913 0.054155
2048 2048 4 256 32 0.241130 0.213999
1024 1024 8 128 16 0.659972 0.104145
8192 8192 4 16 2 4.677965 3.462280
2048 2048 8 16 64 0.890036 0.423926
2048 2048 2 128 128 0.244187 0.213962
512 512 2 16 4 0.023695 0.013373
4096 4096 2 64 8 0.740734 0.865590
8192 8192 4 8 4 4.601444 3.461002
4096 4096 4 32 8 0.488581 0.865386
512 512 8 8 2 1.459941 0.023360
8192 8192 2 16 8 4.029781 3.461007
512 512 4 4 32 0.016181 0.013571
4096 4096 4 8 64 0.435584 0.870782
8192 8192 4 8 64 1.731100 3.463473
2048 2048 2 256 8 0.236447 0.214033
2048 2048 4 8 4 0.283822 0.214117
2048 2048 4 32 16 0.113289 0.213896
2048 2048 4 64 4 0.132130 0.213932
2048 2048 2 4 4 0.850955 0.217410
2048 2048 4 4 16 0.192499 0.213860
8192 8192 4 64 32 1.516019 3.493632
2048 2048 4 256 2 0.186877 0.213943
1024 1024 8 16 128 0.359909 0.104176
2048 2048 2 8 32 0.205395 0.214134
1024 1024 2 16 4 0.088633 0.054274
4096 4096 8 32 16 4.550053 1.743814
1024 1024 4 128 32 0.062819 0.053608
2048 2048 4 16 128 0.223514 0.216068
512 512 2 2 128 0.018234 0.013432
2048 2048 4 32 128 0.246116 0.215952
512 512 8 4 16 0.519936 0.023479
8192 8192 2 128 256 3.731031 3.460948
4096 4096 8 2 16 18.999975 1.736100
8192 8192 2 16 2 9.107067 3.508010
512 512 2 128 8 0.017887 0.013366
2048 2048 4 8 2 0.466261 0.214351
1024 1024 4 2 8 0.118558 0.053614
1024 1024 4 32 32 0.060016 0.053444
4096 4096 8 256 64 4.209994 1.735737
2048 2048 2 8 256 0.238280 0.217043
1024 1024 4 16 8 0.042475 0.053523
1024 1024 4 128 4 0.064065 0.054177
8192 8192 4 4 256 1.803884 3.508714
512 512 8 32 32 0.319938 0.023520
1024 1024 4 64 32 0.062871 0.054134
1024 1024 4 256 256 0.062755 0.054050
2048 2048 8 32 4 3.059951 0.424164
1024 1024 4 16 2 0.075137 0.053539
8192 8192 8 16 32 12.870038 7.021851
8192 8192 8 256 4 21.710010 6.921527
8192 8192 4 64 8 1.739572 3.463751
4096 4096 2 2 16 2.176702 0.874953
2048 2048 8 4 64 1.319943 0.435983
512 512 4 4 32 0.015233 0.013448
2048 2048 2 128 2 0.264655 0.217514
4096 4096 4 8 8 0.760862 0.865482
4096 4096 8 16 128 3.199769 1.739109
4096 4096 4 128 16 0.646360 0.865543
2048 2048 4 4 64 0.129358 0.213905
512 512 4 256 16 0.017793 0.013372
8192 8192 2 32 64 2.574747 3.508355
8192 8192 8 64 256 14.979999 6.931194
4096 4096 4 2 4 3.729853 0.869302
4096 4096 2 256 32 0.922261 0.865445
512 512 2 32 32 0.017166 0.013414
8192 8192 8 128 16 14.000044 6.931711
2048 2048 8 128 256 0.889869 0.427101
2048 2048 2 32 256 0.257768 0.216046
1024 1024 4 8 256 0.068600 0.053546
512 512 8 64 4 0.639937 0.023520
1024 1024 2 4 4 0.204103 0.054018
2048 2048 4 16 32 0.113322 0.213782
4096 4096 4 64 4 0.511713 0.865160
2048 2048 2 32 16 0.184690 0.217137
1024 1024 2 256 64 0.062786 0.054018
4096 4096 2 2 128 0.919294 0.869285
8192 8192 8 2 64 29.180027 6.982896
512 512 4 128 128 0.016376 0.013554
2048 2048 8 256 8 2.479952 0.435989
4096 4096 2 256 2 0.955922 0.865654
1024 1024 2 2 64 0.068852 0.053569
8192 8192 8 16 4 44.649842 6.921614
8192 8192 2 4 2 24.721440 3.510522
512 512 4 64 4 0.020282 0.013557
1024 1024 8 2 2 10.179964 0.103554
4096 4096 4 64 128 0.929368 0.874413
1024 1024 4 64 128 0.064980 0.053526
4096 4096 8 64 64 3.979992 1.735702
4096 4096 8 8 32 4.539884 1.732355
2048 2048 8 8 8 3.139824 0.434119
2048 2048 4 16 16 0.121790 0.216049
4096 4096 4 32 16 0.430524 0.865450
1024 1024 8 128 16 0.579949 0.104131
4096 4096 2 32 128 0.862478 0.869447
1024 1024 4 128 32 0.064070 0.054283
1024 1024 8 4 8 1.539957 0.103493
1024 1024 4 16 8 0.041994 0.053574
4096 4096 4 64 32 0.634109 0.869527
8192 8192 4 32 16 1.706601 3.461042
4096 4096 4 64 16 0.409034 0.865488
1024 1024 4 8 8 0.051783 0.054241
1024 1024 8 32 16 0.739949 0.104078
4096 4096 8 8 16 7.499976 1.735651
2048 2048 4 32 8 0.125523 0.217404
4096 4096 2 4 8 2.076771 0.865723
512 512 4 16 4 0.015424 0.013486
4096 4096 4 32 4 0.611064 0.865254
1024 1024 4 128 128 0.062771 0.053755
1024 1024 4 8 32 0.037226 0.054011
4096 4096 4 4 64 0.509494 0.869524
4096 4096 2 64 128 0.941029 0.865486
1024 1024 2 8 8 0.086915 0.053526
2048 2048 4 128 4 0.139528 0.217209
1024 1024 8 4 128 0.519926 0.103582
2048 2048 4 8 16 0.143453 0.216111
2048 2048 2 8 128 0.182145 0.214051
1024 1024 4 8 32 0.037539 0.053605
2048 2048 2 128 4 0.201223 0.215951
4096 4096 8 32 4 8.279753 1.735678
512 512 8 8 32 0.259852 0.023356
2048 2048 2 32 64 0.221418 0.217123
4096 4096 4 16 64 0.412594 0.869507
512 512 4 32 64 0.017479 0.013589
4096 4096 4 16 8 0.571320 0.868982
2048 2048 2 128 64 0.242574 0.217086
512 512 4 4 2 0.051019 0.013568
4096 4096 2 4 64 0.871697 0.865837
2048 2048 4 64 64 0.237555 0.214296
1024 1024 4 128 64 0.062685 0.054210
1024 1024 2 8 64 0.050420 0.053609
1024 1024 4 4 64 0.038366 0.054068
1024 1024 2 64 64 0.064331 0.054163
4096 4096 4 128 8 0.431623 0.870158
8192 8192 4 4 4 8.658764 3.510518
4096 4096 4 4 32 0.609400 0.865540
2048 2048 4 8 128 0.176093 0.214032
4096 4096 2 8 32 0.827900 0.874736
4096 4096 4 64 16 0.410035 0.865508
1024 1024 4 128 4 0.063631 0.053634
2048 2048 4 16 32 0.113259 0.216161
2048 2048 4 64 16 0.176094 0.216062
4096 4096 8 128 128 3.840002 1.735363
1024 1024 4 64 16 0.060365 0.053520
2048 2048 8 4 4 10.669961 0.437438
2048 2048 4 64 32 0.216432 0.216059
4096 4096 2 32 4 1.048354 0.865171
8192 8192 2 8 128 2.783163 3.461269
2048 2048 2 2 128 0.231328 0.217168
1024 1024 4 128 2 0.054205 0.053521
2048 2048 4 16 8 0.146651 0.213881
4096 4096 8 16 16 4.679861 1.739363
1024 1024 4 4 16 0.051606 0.054140
1024 1024 4 32 128 0.065485 0.053523
1024 1024 2 64 8 0.052206 0.053582
2048 2048 4 32 64 0.217114 0.213985
4096 4096 4 8 32 0.477468 0.874012
512 512 8 4 32 0.459951 0.023463
512 512 4 4 128 0.018204 0.013372
1024 1024 4 8 8 0.051183 0.053463
4096 4096 8 64 64 3.959935 1.754237
4096 4096 2 256 8 0.719130 0.865631
2048 2048 4 4 32 0.149670 0.216040
8192 8192 8 64 4 26.350109 7.026374
1024 1024 8 2 16 1.540001 0.103544
4096 4096 4 256 32 0.915285 0.865372
2048 2048 2 128 32 0.233945 0.213877
4096 4096 8 2 256 4.230021 1.766841
2048 2048 8 64 4 1.799936 0.424492
2048 2048 8 64 16 1.439882 0.436770
1024 1024 4 8 4 0.073582 0.054332
4096 4096 4 16 128 0.648059 0.869335
4096 4096 8 32 64 3.979956 1.735369
4096 4096 4 4 4 1.909752 0.869264
4096 4096 2 16 256 0.888793 0.865226
512 512 4 64 16 0.026436 0.013469
1024 1024 2 16 32 0.052081 0.054610
1024 1024 8 64 64 0.319946 0.103437
1024 1024 2 4 16 0.088510 0.053472
1024 1024 8 16 16 0.499901 0.103549
2048 2048 8 32 256 0.800138 0.424388
1024 1024 4 16 64 0.059457 0.054033
2048 2048 4 128 128 0.242093 0.216211
1024 1024 4 32 8 0.037198 0.053484
8192 8192 4 128 128 3.505627 3.461038
512 512 2 8 256 0.017810 0.013534
2048 2048 4 4 8 0.279374 0.214020
8192 8192 4 32 128 2.475276 3.510547
8192 8192 4 128 64 3.147848 3.496207
4096 4096 8 4 8 21.699983 1.735750
4096 4096 8 256 8 5.929984 1.754899
1024 1024 4 128 128 0.062888 0.054242
4096 4096 2 8 4 2.125891 0.869121
1024 1024 4 2 128 0.043521 0.054104
8192 8192 4 128 2 2.278473 3.493460
2048 2048 4 2 2 1.583934 0.214206
512 512 4 16 8 0.012680 0.013382
1024 1024 2 32 128 0.065946 0.054389
2048 2048 4 256 32 0.240829 0.216000
1024 1024 8 128 16 0.579928 0.109972
8192 8192 4 16 2 4.815827 3.519501
2048 2048 8 16 64 0.919910 0.437106
2048 2048 2 128 128 0.244913 0.214004
512 512 2 16 4 0.023495 0.013492
4096 4096 2 64 8 0.747420 0.871754
8192 8192 4 8 4 4.576303 3.511395
4096 4096 4 32 8 0.489397 0.865796
512 512 8 8 2 1.479891 0.023375
8192 8192 2 16 8 4.089057 3.462625
512 512 4 4 32 0.015153 0.013575
4096 4096 4 8 64 0.436560 0.873782
8192 8192 4 8 64 1.735294 3.493704
2048 2048 2 256 8 0.236019 0.213802
2048 2048 4 8 4 0.277340 0.213918
2048 2048 4 32 16 0.113689 0.213884
2048 2048 4 64 4 0.131033 0.214306
2048 2048 2 4 4 0.817997 0.215966
2048 2048 4 4 16 0.191746 0.217169
8192 8192 4 64 32 1.518065 3.493923
2048 2048 4 256 2 0.187842 0.213843
1024 1024 8 16 128 0.299863 0.103984
2048 2048 2 8 32 0.204833 0.213960
1024 1024 2 16 4 0.086533 0.053705
4096 4096 8 32 16 4.679957 1.735531
1024 1024 4 128 32 0.062979 0.054054
2048 2048 4 16 128 0.226060 0.215963
512 512 2 2 128 0.018128 0.013460
2048 2048 4 32 128 0.242535 0.216920
512 512 8 4 16 0.499872 0.023363
8192 8192 2 128 256 3.753848 3.460984
4096 4096 8 2 16 21.389969 1.724868
8192 8192 2 16 2 8.679172 3.461730
512 512 2 128 8 0.018091 0.013376
2048 2048 4 8 2 0.462853 0.216024
1024 1024 4 2 8 0.118612 0.054050
1024 1024 4 32 32 0.058864 0.054303
4096 4096 8 256 64 3.890028 1.735865
2048 2048 2 8 256 0.236533 0.214148
1024 1024 4 16 8 0.042288 0.053569
1024 1024 4 128 4 0.063980 0.054159
8192 8192 4 4 256 1.811751 3.507804
512 512 8 32 32 0.359946 0.023351
1024 1024 4 64 32 0.062824 0.054025
1024 1024 4 256 256 0.062870 0.054233
2048 2048 8 32 4 4.479959 0.423919
1024 1024 4 16 2 0.074831 0.054178
8192 8192 8 16 32 13.260140 6.922328
8192 8192 8 256 4 15.260058 6.932064
8192 8192 4 64 8 1.734532 3.469434
4096 4096 2 2 16 2.169526 0.865924
2048 2048 8 4 64 1.559972 0.436964
512 512 4 4 32 0.015145 0.013561
2048 2048 2 128 2 0.259491 0.214046
4096 4096 4 8 8 0.746444 0.869287
4096 4096 8 16 128 3.729887 1.744364
4096 4096 4 128 16 0.644836 0.868913
2048 2048 4 4 64 0.130839 0.215998
512 512 4 256 16 0.018383 0.013422
8192 8192 2 32 64 2.568503 3.510064
8192 8192 8 64 256 13.369953 6.927083
4096 4096 4 2 4 3.714982 0.866046
4096 4096 2 256 32 0.921492 0.874300
512 512 2 32 32 0.017171 0.013371
8192 8192 8 128 16 11.540097 6.935961
2048 2048 8 128 256 1.069811 0.424143
2048 2048 2 32 256 0.260164 0.215987
1024 1024 4 8 256 0.067440 0.053632
512 512 8 64 4 0.819913 0.023476
1024 1024 2 4 4 0.212195 0.054253
2048 2048 4 16 32 0.113419 0.214321
4096 4096 4 64 4 0.512938 0.865422
2048 2048 2 32 16 0.184188 0.216088
1024 1024 2 256 64 0.062944 0.053488
4096 4096 2 2 128 0.916411 0.865571
8192 8192 8 2 64 25.709731 6.932341
512 512 4 128 128 0.016404 0.013397
2048 2048 8 256 8 1.780049 0.435991
4096 4096 2 256 2 0.949391 0.869337
1024 1024 2 2 64 0.068043 0.053532
8192 8192 8 16 4 49.760039 6.928908
8192 8192 2 4 2 25.488237 3.494473
512 512 4 64 4 0.020253 0.013430
1024 1024 8 2 2 10.319940 0.104164
4096 4096 4 64 128 0.944269 0.865469
1024 1024 4 64 128 0.064951 0.053676
4096 4096 8 64 64 4.040011 1.735712
4096 4096 8 8 32 4.530025 1.753666
2048 2048 8 8 8 3.099920 0.434321
2048 2048 4 16 16 0.119562 0.213929
4096 4096 4 32 16 0.430176 0.869607
1024 1024 8 128 16 0.339797 0.104166
4096 4096 2 32 128 0.863320 0.865378
1024 1024 4 128 32 0.062714 0.053496
1024 1024 8 4 8 1.590045 0.104087
1024 1024 4 16 8 0.042282 0.053474
4096 4096 4 64 32 0.631820 0.869177
8192 8192 4 32 16 1.705532 3.462170
4096 4096 4 64 16 0.411225 0.865128
1024 1024 4 8 8 0.050792 0.054333
1024 1024 8 32 16 0.659961 0.103550
4096 4096 8 8 16 7.289960 1.730559
2048 2048 4 32 8 0.127019 0.216041
4096 4096 2 4 8 2.138757 0.866148
512 512 4 16 4 0.015211 0.013372
4096 4096 4 32 4 0.605523 0.869399
1024 1024 4 128 128 0.062649 0.053574
1024 1024 4 8 32 0.037254 0.054244
4096 4096 4 4 64 0.504299 0.865787
4096 4096 2 64 128 0.949250 0.869187
1024 1024 2 8 8 0.085876 0.054029
2048 2048 4 128 4 0.138611 0.213853
1024 1024 8 4 128 0.339894 0.103998
2048 2048 4 8 16 0.143656 0.216970
2048 2048 2 8 128 0.181196 0.213897
1024 1024 4 8 32 0.037302 0.054237
2048 2048 2 128 4 0.202041 0.214021
4096 4096 8 32 4 9.699957 1.748384
512 512 8 8 32 0.259869 0.023359
2048 2048 2 32 64 0.220561 0.217236
4096 4096 4 16 64 0.410841 0.874553
512 512 4 32 64 0.017459 0.013561
4096 4096 4 16 8 0.574712 0.869205
2048 2048 2 128 64 0.242241 0.213979
512 512 4 4 2 0.049896 0.013376
4096 4096 2 4 64 0.859386 0.869411
2048 2048 4 64 64 0.240755 0.213908
1024 1024 4 128 64 0.062760 0.054217
1024 1024 2 8 64 0.050368 0.053462
1024 1024 4 4 64 0.039515 0.054024
1024 1024 2 64 64 0.064463 0.054025
4096 4096 4 128 8 0.432469 0.874617
8192 8192 4 4 4 8.521362 3.463484
4096 4096 4 4 32 0.592885 0.869124
2048 2048 4 8 128 0.176070 0.213807
4096 4096 2 8 32 0.823676 0.866296
4096 4096 4 64 16 0.410586 0.874377
1024 1024 4 128 4 0.064112 0.054283
2048 2048 4 16 32 0.113488 0.213924
2048 2048 4 64 16 0.176142 0.216131
4096 4096 8 128 128 3.679987 1.739462
1024 1024 4 64 16 0.060567 0.053569
2048 2048 8 4 4 10.549859 0.437428
2048 2048 4 64 32 0.216202 0.216190
4096 4096 2 32 4 1.044998 0.865742
8192 8192 2 8 128 2.784539 3.462102
2048 2048 2 2 128 0.232389 0.217081
1024 1024 4 128 2 0.054364 0.053670
2048 2048 4 16 8 0.145839 0.217423
4096 4096 8 16 16 5.059852 1.739388
1024 1024 4 4 16 0.051907 0.054421
1024 1024 4 32 128 0.065488 0.053680
1024 1024 2 64 8 0.052736 0.054174
2048 2048 4 32 64 0.217453 0.214108
4096 4096 4 8 32 0.480488 0.865780
512 512 8 4 32 0.519961 0.023362
512 512 4 4 128 0.018950 0.013397
1024 1024 4 8 8 0.052373 0.054231
4096 4096 8 64 64 3.339987 1.735504
4096 4096 2 256 8 0.717176 0.865944
2048 2048 4 4 32 0.148874 0.213931
8192 8192 8 64 4 20.820037 6.931550
1024 1024 8 2 16 1.519864 0.104014
4096 4096 4 256 32 0.915247 0.866181
2048 2048 2 128 32 0.235300 0.216202
4096 4096 8 2 256 3.469901 1.735903
2048 2048 8 64 4 2.999980 0.437088
2048 2048 8 64 16 1.379919 0.436023
1024 1024 4 8 4 0.073151 0.054053
4096 4096 4 16 128 0.645495 0.869757
4096 4096 8 32 64 3.939957 1.734280
4096 4096 4 4 4 1.930383 0.870269
4096 4096 2 16 256 0.892151 0.874259
512 512 4 64 16 0.018157 0.013488
1024 1024 2 16 32 0.049151 0.054054
1024 1024 8 64 64 0.339868 0.103437
1024 1024 2 4 16 0.086646 0.053545
1024 1024 8 16 16 0.499925 0.104008
2048 2048 8 32 256 0.939940 0.435974
1024 1024 4 16 64 0.059188 0.053504
2048 2048 4 128 128 0.245791 0.213873
1024 1024 4 32 8 0.037573 0.053498
8192 8192 4 128 128 3.510499 3.463862
512 512 2 8 256 0.018031 0.013426
