h w p k r par_time seq_time
8192 32768 16 256 2 0.842130 1.601104
8192 32768 16 256 4 0.715420 1.625279
8192 32768 16 256 8 0.680726 1.625780
8192 32768 16 256 16 0.772321 1.601845
8192 32768 16 256 32 0.964833 1.602896
8192 32768 16 256 64 1.382154 1.625305
8192 32768 16 256 128 1.689121 1.600578
8192 32768 16 256 256 1.878361 1.602153
8192 32768 16 256 512 1.879372 1.600430
8192 32768 16 256 2 0.841198 1.602282
8192 32768 16 256 4 0.719629 1.600860
8192 32768 16 256 8 0.682790 1.623928
8192 32768 16 256 16 0.772677 1.601169
8192 32768 16 256 32 0.965012 1.601888
8192 32768 16 256 64 1.378243 1.601590
8192 32768 16 256 128 1.690597 1.601697
8192 32768 16 256 256 1.877030 1.602202
8192 32768 16 256 512 1.833633 1.600923
8192 32768 16 256 2 0.840966 1.602317
8192 32768 16 256 4 0.710971 1.601211
8192 32768 16 256 8 0.679837 1.590870
8192 32768 16 256 16 0.773130 1.600693
8192 32768 16 256 32 0.968072 1.601785
8192 32768 16 256 64 1.379873 1.602585
8192 32768 16 256 128 1.689337 1.602188
8192 32768 16 256 256 1.883307 1.627069
8192 32768 16 256 512 1.845964 1.601163
8192 32768 16 256 2 0.840314 1.602297
8192 32768 16 256 4 0.718302 1.601909
8192 32768 16 256 8 0.678809 1.601943
8192 32768 16 256 16 0.771105 1.601209
8192 32768 16 256 32 0.968795 1.602321
8192 32768 16 256 64 1.374238 1.601685
8192 32768 16 256 128 1.693714 1.602937
8192 32768 16 256 256 1.884431 1.625276
8192 32768 16 256 512 1.839841 1.600572
8192 32768 16 256 2 0.831552 1.602939
8192 32768 16 256 4 0.716179 1.602513
8192 32768 16 256 8 0.677780 1.603248
8192 32768 16 256 16 0.772968 1.602496
8192 32768 16 256 32 0.957013 1.601751
8192 32768 16 256 64 1.375626 1.602468
8192 32768 16 256 128 1.692331 1.601868
8192 32768 16 256 256 1.880254 1.600420
8192 32768 16 256 512 1.875756 1.600882
8192 32768 16 256 2 0.834833 1.625806
8192 32768 16 256 4 0.716207 1.602414
8192 32768 16 256 8 0.680110 1.623729
8192 32768 16 256 16 0.773925 1.602406
8192 32768 16 256 32 0.970186 1.602126
8192 32768 16 256 64 1.373230 1.602397
8192 32768 16 256 128 1.695354 1.602132
8192 32768 16 256 256 1.877263 1.599968
8192 32768 16 256 512 1.842758 1.626038
8192 32768 16 256 2 0.838230 1.602391
8192 32768 16 256 4 0.717820 1.602874
8192 32768 16 256 8 0.679819 1.602822
8192 32768 16 256 16 0.773252 1.603210
8192 32768 16 256 32 0.962934 1.602885
8192 32768 16 256 64 1.384214 1.602545
8192 32768 16 256 128 1.696211 1.601194
8192 32768 16 256 256 1.875265 1.602068
8192 32768 16 256 512 1.832556 1.625501
8192 32768 16 256 2 0.831465 1.603743
8192 32768 16 256 4 0.717805 1.601974
8192 32768 16 256 8 0.676596 1.604582
8192 32768 16 256 16 0.766882 1.602191
8192 32768 16 256 32 0.968476 1.603623
8192 32768 16 256 64 1.373278 1.602271
8192 32768 16 256 128 1.694941 1.600505
8192 32768 16 256 256 1.881097 1.601001
8192 32768 16 256 512 1.826608 1.600444
8192 32768 16 256 2 0.833116 1.600659
8192 32768 16 256 4 0.709530 1.601417
8192 32768 16 256 8 0.677245 1.600282
8192 32768 16 256 16 0.770744 1.602229
8192 32768 16 256 32 0.956026 1.601481
8192 32768 16 256 64 1.377009 1.601715
8192 32768 16 256 128 1.692736 1.600346
8192 32768 16 256 256 1.884243 1.600482
8192 32768 16 256 512 1.848242 1.601587
8192 32768 16 256 2 0.839386 1.600860
8192 32768 16 256 4 0.708725 1.598930
8192 32768 16 256 8 0.677827 1.601780
8192 32768 16 256 16 0.765128 1.602857
8192 32768 16 256 32 0.968524 1.601783
8192 32768 16 256 64 1.375618 1.601358
8192 32768 16 256 128 1.692457 1.600380
8192 32768 16 256 256 1.878546 1.600727
8192 32768 16 256 512 1.849640 1.602202
8192 32768 16 256 2 0.831197 1.600554
8192 32768 16 256 4 0.716626 1.600736
8192 32768 16 256 8 0.681189 1.625593
8192 32768 16 256 16 0.772121 1.602177
8192 32768 16 256 32 0.953315 1.601862
8192 32768 16 256 64 1.377191 1.601570
8192 32768 16 256 128 1.696616 1.600724
8192 32768 16 256 256 1.881006 1.599944
8192 32768 16 256 512 1.874735 1.623690
8192 32768 16 256 2 0.837701 1.599254
8192 32768 16 256 4 0.709760 1.600626
8192 32768 16 256 8 0.677002 1.602401
8192 32768 16 256 16 0.773719 1.601446
8192 32768 16 256 32 0.966919 1.597273
8192 32768 16 256 64 1.370088 1.600855
8192 32768 16 256 128 1.690316 1.601063
8192 32768 16 256 256 1.883520 1.601551
8192 32768 16 256 512 1.835637 1.602587
8192 32768 16 256 2 0.839573 1.599442
8192 32768 16 256 4 0.709659 1.600864
8192 32768 16 256 8 0.669882 1.600913
8192 32768 16 256 16 0.759552 1.601152
8192 32768 16 256 32 0.967129 1.601081
8192 32768 16 256 64 1.370593 1.600990
8192 32768 16 256 128 1.693818 1.600563
8192 32768 16 256 256 1.880275 1.601798
8192 32768 16 256 512 1.870538 1.602168
8192 32768 16 256 2 0.840702 1.599534
8192 32768 16 256 4 0.714603 1.625389
8192 32768 16 256 8 0.678491 1.600993
8192 32768 16 256 16 0.772465 1.600906
8192 32768 16 256 32 0.968961 1.600929
8192 32768 16 256 64 1.384382 1.600855
8192 32768 16 256 128 1.692186 1.601214
8192 32768 16 256 256 1.877143 1.601763
8192 32768 16 256 512 1.867002 1.601073
8192 32768 16 256 2 0.841655 1.601382
8192 32768 16 256 4 0.706152 1.600943
8192 32768 16 256 8 0.679409 1.600775
8192 32768 16 256 16 0.773014 1.599089
8192 32768 16 256 32 0.976924 1.601241
8192 32768 16 256 64 1.380052 1.602101
8192 32768 16 256 128 1.697246 1.602148
8192 32768 16 256 256 1.885064 1.602420
8192 32768 16 256 512 1.877810 1.623918
8192 32768 16 256 2 0.833391 1.601861
8192 32768 16 256 4 0.712216 1.601075
8192 32768 16 256 8 0.680881 1.599147
8192 32768 16 256 16 0.777428 1.604696
8192 32768 16 256 32 0.957509 1.600858
8192 32768 16 256 64 1.380519 1.601742
8192 32768 16 256 128 1.700907 1.606943
8192 32768 16 256 256 1.878215 1.603569
8192 32768 16 256 512 1.844426 1.601573
8192 32768 16 256 2 0.837691 1.602577
8192 32768 16 256 4 0.717171 1.602098
8192 32768 16 256 8 0.678357 1.601590
8192 32768 16 256 16 0.774169 1.600926
8192 32768 16 256 32 0.962242 1.601134
8192 32768 16 256 64 1.385694 1.601815
8192 32768 16 256 128 1.701251 1.625469
8192 32768 16 256 256 1.886040 1.601279
8192 32768 16 256 512 1.873751 1.600876
8192 32768 16 256 2 0.839001 1.602393
8192 32768 16 256 4 0.719792 1.602975
8192 32768 16 256 8 0.680854 1.602678
8192 32768 16 256 16 0.769274 1.601875
8192 32768 16 256 32 0.967405 1.601970
8192 32768 16 256 64 1.371836 1.602168
8192 32768 16 256 128 1.696536 1.599209
8192 32768 16 256 256 1.883945 1.600728
8192 32768 16 256 512 1.830875 1.600959
8192 32768 16 256 2 0.840611 1.602258
8192 32768 16 256 4 0.720645 1.602309
8192 32768 16 256 8 0.672948 1.602316
8192 32768 16 256 16 0.774876 1.602391
8192 32768 16 256 32 0.968844 1.603186
8192 32768 16 256 64 1.380077 1.602774
8192 32768 16 256 128 1.692842 1.601780
8192 32768 16 256 256 1.882718 1.600448
8192 32768 16 256 512 1.839917 1.600899
8192 32768 16 256 2 0.837860 1.602580
8192 32768 16 256 4 0.711588 1.600556
8192 32768 16 256 8 0.682667 1.624103
8192 32768 16 256 16 0.768229 1.602383
8192 32768 16 256 32 0.970081 1.602751
8192 32768 16 256 64 1.382620 1.602735
8192 32768 16 256 128 1.707285 1.601853
8192 32768 16 256 256 1.872946 1.600839
8192 32768 16 256 512 1.852351 1.600652
8192 32768 16 256 2 0.840242 1.600131
8192 32768 16 256 4 0.718258 1.602387
8192 32768 16 256 8 0.671879 1.602421
8192 32768 16 256 16 0.771729 1.602395
8192 32768 16 256 32 0.974741 1.602971
8192 32768 16 256 64 1.374354 1.601971
8192 32768 16 256 128 1.696888 1.600890
8192 32768 16 256 256 1.869828 1.600310
8192 32768 16 256 512 1.860227 1.601644
8192 32768 16 256 2 0.840970 1.601092
8192 32768 16 256 4 0.717375 1.601489
8192 32768 16 256 8 0.672972 1.604563
8192 32768 16 256 16 0.775379 1.602544
8192 32768 16 256 32 0.966607 1.602309
8192 32768 16 256 64 1.384017 1.602103
8192 32768 16 256 128 1.695760 1.601283
8192 32768 16 256 256 1.883390 1.600462
8192 32768 16 256 512 1.869725 1.601291
8192 32768 16 256 2 0.842522 1.602212
8192 32768 16 256 4 0.719631 1.602129
8192 32768 16 256 8 0.665487 1.609246
8192 32768 16 256 16 0.766773 1.604288
8192 32768 16 256 32 0.971514 1.603131
8192 32768 16 256 64 1.386105 1.601938
8192 32768 16 256 128 1.693919 1.601887
8192 32768 16 256 256 1.884988 1.606142
8192 32768 16 256 512 1.879151 1.608318
8192 32768 16 256 2 0.840849 1.625361
8192 32768 16 256 4 0.711511 1.602895
8192 32768 16 256 8 0.673850 1.601403
8192 32768 16 256 16 0.767635 1.601130
8192 32768 16 256 32 0.963705 1.600388
8192 32768 16 256 64 1.385275 1.601816
8192 32768 16 256 128 1.698290 1.625038
8192 32768 16 256 256 1.882492 1.601415
8192 32768 16 256 512 1.874921 1.602906
8192 32768 16 256 2 0.842740 1.601788
8192 32768 16 256 4 0.721880 1.599949
8192 32768 16 256 8 0.680640 1.602784
8192 32768 16 256 16 0.773912 1.600930
8192 32768 16 256 32 0.969789 1.602199
8192 32768 16 256 64 1.380193 1.602731
8192 32768 16 256 128 1.696444 1.600558
8192 32768 16 256 256 1.879331 1.601742
8192 32768 16 256 512 1.872783 1.623796
8192 32768 16 256 2 0.834806 1.601180
8192 32768 16 256 4 0.721979 1.625356
8192 32768 16 256 8 0.671747 1.602982
8192 32768 16 256 16 0.769527 1.601201
8192 32768 16 256 32 0.962484 1.601720
8192 32768 16 256 64 1.380640 1.601398
8192 32768 16 256 128 1.693306 1.601530
8192 32768 16 256 256 1.885523 1.602006
8192 32768 16 256 512 1.874164 1.600971
8192 32768 16 256 2 0.837262 1.603064
8192 32768 16 256 4 0.717393 1.603481
8192 32768 16 256 8 0.678126 1.601128
8192 32768 16 256 16 0.773849 1.602028
8192 32768 16 256 32 0.968038 1.601626
8192 32768 16 256 64 1.376299 1.600717
8192 32768 16 256 128 1.694678 1.602844
8192 32768 16 256 256 1.885156 1.602376
8192 32768 16 256 512 1.845841 1.600885
8192 32768 16 256 2 0.843535 1.602557
8192 32768 16 256 4 0.710808 1.602594
8192 32768 16 256 8 0.678236 1.601427
8192 32768 16 256 16 0.778689 1.626486
8192 32768 16 256 32 0.968135 1.601568
8192 32768 16 256 64 1.384657 1.602507
8192 32768 16 256 128 1.696999 1.602710
8192 32768 16 256 256 1.879622 1.601632
8192 32768 16 256 512 1.875335 1.623703
8192 32768 16 256 2 0.833683 1.602121
8192 32768 16 256 4 0.718921 1.606963
8192 32768 16 256 8 0.679183 1.603333
8192 32768 16 256 16 0.767098 1.602019
8192 32768 16 256 32 0.971503 1.602442
8192 32768 16 256 64 1.369510 1.603361
8192 32768 16 256 128 1.697398 1.603009
8192 32768 16 256 256 1.881888 1.625364
8192 32768 16 256 512 1.828732 1.601398
